Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"Трактор колісний Беларус 892, 2012 р.в., ДНЗ 11809АМ, № шасі 90819325","Очікування сплати",Сільгосптехніка,"Житомирська обл.","Учасник №34",413739,184727.00,402704.86
"Мопед ""Мустанг"", модель МТ50Q-2, рік випуску, номер рами не встановлено,  без державних номерних знаків","Торги не відбулися",Мототранспорт,"Хмельницька обл.",,413393,1665.00,
"Іпотека: Земельна ділянка за кадастровим номером 3221485501:01:013:0031, площею 0,1964 га, що розташована задресою Київська обл., Васильківський р-н, с. Мархалівка","Торги не відбулися","Земельні ділянки",м.Київ,,413761,211590.00,
"Ніж №1 жолобчатий -20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413858,900.00,
"Ніж №1 жолобчатий -20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413861,900.00,
"Ніж №1 жолобчатий -20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413898,900.00,
"Ніж №1 жолобчатий -20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413901,900.00,
"Ніж №1 жолобчатий -20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413903,900.00,
"Фільтр для меду D 150 мм оцін. двосекційний опуклий -20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413910,3200.00,
"Фільтр для меду D 150 мм оцін. двосекційний опуклий -20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413913,3200.00,
"Фільтр для меду D 150 мм оцін. двосекційний опуклий -20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413915,3200.00,
"Фільтр для меду D 150 мм оцін. двосекційний опуклий -20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413918,3200.00,
"Пилосос ""SAMSUNG""","Торги не відбулися","Мала побутова техніка","Дніпропетровська обл.",,413833,769.67,
"Фільтр для меду D 150 мм оцін. двосекційний опуклий -20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413921,3200.00,
"Електрочайник марки DELFA","Торги не відбулися","Мала побутова техніка","Кіровоградська обл.",,413806,300.00,
"Папка ""Economix""","Торги не відбулися","Канцелярські товари","Дніпропетровська обл.",,412435,38.16,
"Електромедогонка на 35 рамок","Торги не відбулися",Інше,"Кіровоградська обл.",,413955,24000.00,
"44/200 частки житлового будинку загальною площею 156,1 м.кв., розташованого за адресою: м. Херсон, смт. Комишани, вул. Соборна (Жовтнева), буд. 10 Ж","Торги не відбулися","Житлова нерухомість","Херсонська обл.",,413975,104205.00,
"Медогонка 4-х рамочна н/в","Торги не відбулися",Інше,"Кіровоградська обл.",,413961,6410.00,
"Медогонка 4-х рамочна н/в","Торги не відбулися",Інше,"Кіровоградська обл.",,413966,6410.00,
"Медогонка 4-х рамочна н/в","Торги не відбулися",Інше,"Кіровоградська обл.",,413970,6410.00,
"Медогонка 4-х рамочна н/в","Торги не відбулися",Інше,"Кіровоградська обл.",,413973,6410.00,
"Відеомагнітофон LG","Торги не відбулися","ТВ, Фото, Відео, Аудіо","Дніпропетровська обл.",,413956,125.00,
"Медогонка 4-х рамочна н/в","Торги не відбулися",Інше,"Кіровоградська обл.",,413979,6410.00,
"Телефонний апарат стаціонарний","Торги не відбулися","Стаціонарні телефони","Дніпропетровська обл.",,413964,191.33,
"Мобільний телефон NOKIA 230","Торги не відбулися","Мобільні телефони","Дніпропетровська обл.",,413977,559.33,
"ІПОТЕКА: квартира № 75 за адресою Київська область, Вишгородський район, смт. Димер, вул. Шевченка, 70; загальною площею 65,50 кв. м.; житлова площа 39,40 кв. м. ","Торги не відбулися","Житлова нерухомість",м.Київ,,413795,518630.00,
"Ковпак D 100 мм – 100 шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413983,5500.00,
"Ковпак D 100 мм – 100 шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413987,5500.00,
"Гель для прання TIDE - 1 од.","Торги не відбулися","Господарчі товари","Дніпропетровська обл.",,413431,123.90,
"Гель для прання ARIEL -1 од.","Торги не відбулися","Господарчі товари","Дніпропетровська обл.",,413455,126.00,
"Добровільний продаж. Трактор гусеничний Сhаllеngеr МТ765В 2007 року випуску, номер кузову: AGCC0765ANTCA1042","Торги не відбулися",Сільгосптехніка,м.Київ,,413990,1750000.00,
"Концентрований дозований рідкий пральний засіб для білих тканин TM SAVEX - 4 од.","Торги не відбулися","Господарчі товари","Дніпропетровська обл.",,413464,364.68,
"Рухоме майно, 7 позицій","Торги відбулися","Аукціон із різнотипних товарів","Сумська обл.","Учасник №1",413930,1292.00,1292.00
"Стіл дерев'яний у кількості 15 шт.","Торги не відбулися",Меблі,"Сумська обл.",,413935,2025.00,
"Гель для миття посуду GALA - 4 од.","Торги не відбулися","Господарчі товари","Дніпропетровська обл.",,413476,55.60,
"Жалюзі вертикальні у кількості 8 шт.","Очікування сплати",Декор,"Сумська обл.","Учасник №1",413936,720.00,800.00
"Ролети металеві, інв. №№ 43570, 43566","Торги не відбулися",Інше,"Сумська обл.",,413949,3960.00,
"Рухоме майно, 9 позицій","Складання акту","Аукціон із різнотипних товарів","Сумська обл.","Учасник №1",413969,10487.35,10487.35
"Відходи виробництва та зношені частини обладнання вагою 16200 кг, що не придатне до використання та в подальшому підлягає переробці на металобрухт","Складання акту",Брухт,"Сумська обл.","Учасник №2",413974,54270.00,54270.00
"Побутовий вагончик, розміром 9*2*2,5 м.","Складання акту",Інше,"Сумська обл.","Учасник №18",413978,8190.00,8190.00
"Металевий гараж, розміром 4*2 м, що знаходиться за адресою: м. Суми, вул. Курська, 48","Складання акту",Гаражі/стоянки,"Сумська обл.","Учасник №4",413981,5400.00,5400.00
"Концентрований дозований рідкий пральний засіб для кольорових тканин ТМ SAVEX - 2 од.","Торги не відбулися","Господарчі товари","Дніпропетровська обл.",,413471,91.17,
"Металевий вагончик, розміром 6,5*2 м.","Торги не відбулися",Інше,"Сумська обл.",,413982,4500.00,
"Дерев'яні котушки у кількості 50 шт.","Торги не відбулися",Інше,"Сумська обл.",,413986,9180.00,
"Земельна ділянка загальною площею 0,15 га, к.н.  1225682000:02:021:0007, за адресою: Дніпроптеровська область, Царичанський район, с. Китайгород, вул. Центральна, 27","Торги не відбулися","Земельні ділянки","Дніпропетровська обл.",,413954,52500.00,
"Вентилятор ","Торги не відбулися","Кліматична  техніка","Дніпропетровська обл.",,413947,314.00,
"Клавіатура WINDOWS","Торги не відбулися",Комплектуючі,"Дніпропетровська обл.",,413971,100.00,
"ІПОТЕКА: Земельна ділянка за кадастровим номером 3221485501:01:013:0037, площею 0.125 га, що розташована задресою Київська обл., Васильківський р-н, с. Мархалівка, вул. Кавказька","Торги не відбулися","Земельні ділянки",м.Київ,,413766,140890.00,
"Джинсові штани (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,413999,193.37,
"Джинсові штани (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414000,193.37,
"Джинсові штани (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414001,193.37,
"Джинсові штани (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414002,193.37,
"Джинсові штани (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414003,193.37,
"Джинсові штани (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414004,193.37,
"Джинсові штани (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414005,193.37,
"Джинсові штани (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414006,193.37,
"Джинсові штани (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414007,193.37,
"Джинсові штани (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414008,193.37,
"Джинсові штани розмір 27 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414009,193.37,
"Джинсові штани розмір 27 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414010,193.37,
"Джинсові штани розмір 27 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414011,193.37,
"Джинсові штани розмір 27 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414012,193.37,
"Джинсові штани розмір 27 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414013,193.37,
"Джинсові штани розмір 27 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414014,193.37,
"Джинсові штани розмір 27 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414015,193.37,
"Джинсові штани розмір 27 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414016,193.37,
"Джинсові штани розмір 27 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414017,193.37,
"Джинсові штани розмір 27 зріст 33 (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414018,193.37,
"Джинсові штани розмір 28 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414019,193.37,
"Джинсові штани розмір 28 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414020,193.37,
"Джинсові штани розмір 28 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414021,193.37,
"Джинсові штани розмір 28 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414022,193.37,
"Джинсові штани розмір 29 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414023,193.37,
"Джинсові штани розмір 29 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414024,193.37,
"Джинсові штани розмір 29 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414025,193.37,
"Джинсові штани розмір 29 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414026,193.37,
"Джинсові штани розмір 29 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414027,193.37,
"Джинсові штани розмір 29 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414028,193.37,
"Джинсові штани розмір 29 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414029,193.37,
"Джинсові штани розмір 30 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414030,193.37,
"Джинсові штани розмір 30 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414031,193.37,
"Брухт чорного металу вагою 201 кг","Торги відбулися",Брухт,"Дніпропетровська обл.","Учасник №1",414062,422.10,422.10
"Пір'я натуральні для декорування свят, колір в асортименті","Торги не відбулися",Інше,"Дніпропетровська обл.",,414061,19710.00,
"Стаціонарний радіотелефон ALCATEL","Торги не відбулися","Стаціонарні телефони","Дніпропетровська обл.",,414060,600.00,
"Лампа настільна","Торги не відбулися",Інше,"Дніпропетровська обл.",,414059,150.00,
Електрочайник,"Торги не відбулися","Інша техніка","Дніпропетровська обл.",,414058,225.00,
"Навушники Sven","Торги не відбулися","Аксесуари та інше","Дніпропетровська обл.",,414057,225.00,
"Кутова шафа","Торги не відбулися",Меблі,"Дніпропетровська обл.",,414056,312.35,
"Шафа для документів ","Торги не відбулися",Меблі,"Дніпропетровська обл.",,414055,332.51,
"Офісні столи в кількості 2 шт.","Торги не відбулися",Меблі,"Дніпропетровська обл.",,414054,507.51,
"Принтер hp Laser Jet Pro MFP, M125-M126","Торги не відбулися",Оргтехніка,"Дніпропетровська обл.",,414053,1627.50,
"Монітор Samsung, S19A10N","Торги не відбулися",Монітори,"Дніпропетровська обл.",,414052,397.25,0.00
"Мобільний телефон марки Samsung Le Fleur","Торги не відбулися","Мобільні телефони","Дніпропетровська обл.",,414051,75.00,
"Брухт чорних металів вагою 176 кг","Торги не відбулися",Брухт,"Дніпропетровська обл.",,414050,443.52,
"Мобільний телефон NOKIA №8-00","Торги не відбулися","Мобільні телефони","Дніпропетровська обл.",,414049,266.25,
"Мобільний телефон SIMENS","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414048,141.75,
"Телевізор DAEWOO модель 1401M","Торги не відбулися",Телевізори,"Дніпропетровська обл.",,414047,262.50,
"Автомобіль марки CHERY моделі AMULET, 2008 року випуску, реєстраційний номер АЕ7998СК, VIN № Y6DDA11B08D191658 / LVVDA11B08D191658","Очікування сплати","Легкові автомобілі","Дніпропетровська обл.","Учасник №28",414045,33285.00,41275.00
"Телевізор ONIDA модель 21 MARVEL","Торги не відбулися",Телевізори,"Дніпропетровська обл.",,414046,637.50,
"Пір'я натуральні для декорування свят, колір в асортименті","Торги не відбулися",Інше,"Дніпропетровська обл.",,414044,25623.00,
"Пір'я натуральні для декорування свят, колір в асортименті","Торги не відбулися",Інше,"Дніпропетровська обл.",,414043,19710.00,
"Іпотека. Житловий будинок загальною площею 67 кв.м., житловою площею 33,8 кв.м. за адресою: Дніпропетровська область, П'ятихатський район, с. Комісарівка, вул. Миру (колишня назва Леніна),13","Торги не відбулися","Житлова нерухомість","Дніпропетровська обл.",,413508,29500.00,
"Ковпак D 100 мм – 100 шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413989,5500.00,
"Ковпак D 100 мм – 100 шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413991,5500.00,
"Ковпак D 100 мм – 100 шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,413992,5500.00,
"Вантажний напівпричіп фургон FRUEHAUF France, 2003 р.в., реєстраційний номер ВО3428ХХ, номер шасі:VFKTVMD3620005596","Торги не відбулися",Причепи,"Тернопільська обл.",,414079,78523.50,
"Автокран КС3575 на базі вантажного автомобіля ЗІЛ133ГЯ, 1991 р.в., реєстраційний номер ВО5609АН, номер шасі: MO136962","Торги не відбулися","Вантажні автомобілі","Тернопільська обл.",,414080,104154.00,
"Цистерна харчова  АЦ на базі  вантажного автомобіля ГАЗ 3307 Б, 2004 р.в., реєстраційний номер ВО1360АВ, номер кузова:XTH3307004086162","Торги не відбулися","Вантажні автомобілі","Тернопільська обл.",,414081,59585.25,
"Цистерна харчова  АЦПТ на базі  вантажного автомобіля ГАЗ 5312, 1989 р.в., реєстраційний номер ВО3689АА, номер кузова:ХТН531200К1298665","Торги не відбулися","Вантажні автомобілі","Тернопільська обл.",,414082,27402.75,
"Вантажний фургон малотонажний MERCEDES-BENZ Sprinter 311CDI, 2006 р.в., реєстраційний номер ВО3372ВО, номер кузова:WDB9036122R920816","Складання акту","Вантажні автомобілі","Тернопільська обл.","Учасник №18",414083,174057.00,174057.00
"ІПОТЕКА. Однокімнатна квартира заг. пл. 29,8 кв.м., за адресою: Дніпропетровська область, м. Кривий Ріг, вул. Тимірязєва, буд. 1, кв. 66","Підписання протоколу","Житлова нерухомість","Дніпропетровська обл.","Учасник №1",413958,57000.00,75810.00
"Кондиціонер LG ","Торги відбулися","Кліматична  техніка","Запорізька обл.","Учасник №1",414086,5000.00,5000.00
"Предмет іпотеки. Магазин загальною площею 255,2 м², за адресою: Чернівецька обл., Сторожинецький р-н, с.Годилів, вул.Яблунівська, 16","Торги не відбулися","Комерційна нерухомість","Чернівецька обл.",,414088,1608036.00,
"ІПОТЕКА. Нежитлові будівлі деревообробного цеху літ.А-ІІ загальною площею 881,2 м², сушка літ.Б, котельня літ.В, зем. ділянка площею 0,3326 га, КН 7324586000:02:002:0016, за адресою: Чернівецька обл., Сторожинецький р-н, с.Чудей, вул.Карпатська, 207","Торги зупинено","Комерційна нерухомість","Чернівецька обл.",,414090,537680.00,
"Кусачки металеві, б/в","Торги не відбулися",Інструменти,"Житомирська обл.",,414091,225.00,
"Предмет іпотеки. Земельна ділянка площею 0,1619га, КН 7324586500:02:001:0075, за адресою: Чернівецька обл., Сторожинецький р-н, с.Михальча","Підписання протоколу","Земельні ділянки","Чернівецька обл.","Учасник №2",414093,56988.80,80925.73
"Решітка розділова для вуликів типу лежак, металева-20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,414084,1800.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,414085,1800.00,
"Мобільний телефон «NOKIA С5-03» з сім картою мобільного оператору «djuice card», у кількості 2-х одиниць ","Торги не відбулися","Мобільні телефони","Запорізька обл.",,413545,352.80,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,414087,1800.00,
"Решітка розділова для вуликів типу лежак, металева-20шт.","Торги не відбулися",Інше,"Кіровоградська обл.",,414089,1800.00,
"Мобільний телефон «NOKIA Nseries»","Торги не відбулися","Мобільні телефони","Запорізька обл.",,413554,205.80,
"ІПОТЕКА.Земельна ділянка заг.пл.0,29га для буд. обсл. житл.буд., господарських буд. та споруд к.н.0755885100:01:001:5808 та 0,0387га для ведення особистого селянського госп. к.н.0755885100:01:001:5809, знаходяться за адр.:Вол.обл.,Луцький р-н.,с.Промінь","Торги не відбулися","Земельні ділянки","Волинська обл.",,414096,169815.00,
"ІПОТЕКА. Двокімнатна квартира заг. пл. 39,8 кв.м., за адресою: Дніпропетровська область, м. Павлоград, вул. Поштова, буд. 3/1, кв. 62","Торги не відбулися","Житлова нерухомість","Дніпропетровська обл.",,414100,49280.00,
"Іпотека. Торговий центр/магазин змішаної торгівлі та кафе-бар/, площею 168,5 кв.м., що знаходиться за адресою: Волинська область, Ратнівський р., с. Гута, вул. Зелена, 12","Торги припинено","Комерційна нерухомість","Волинська обл.",,414101,334978.40,
Сокира,"Торги відбулися",Інструменти,"Житомирська обл.","Учасник №1",414103,60.00,60.00
"Бензопила помаранчевого кольору, б/в","Торги не відбулися",Інструменти,"Житомирська обл.",,414105,462.50,
"Бензопила STIHL MS 290, б/в ","Торги відбулися",Інструменти,"Житомирська обл.","Учасник №2",414109,1925.00,2400.00
"Металошукач марки ""Pirat All metals""","Очікування сплати",Інструменти,"Житомирська обл.","Учасник №6",414111,242.50,400.00
"Гель для прання Persil - 1 од.","Торги не відбулися","Господарчі товари","Дніпропетровська обл.",,413438,145.50,
"Земельна ділянка, загальною площею 0.1200 га., кадастровий № 2124481200:03:002:0079, що знаходиться за адресою: Закарпатська область, Тячівський район, село Ганичі, вул. І.Франка, б/н","Очікування сплати","Земельні ділянки","Закарпатська обл.","Учасник №1",414112,221390.40,354224.70
"Іпотека. Будинок загальною площею 57,5 кв.м. та земельні ділянки: площею 0,3176 га, к.н. 1223285500:05:001:0055, площею 0,2500 га., к.н. 1223285500:05:001:0054 за адресою: Дніпропетровська обл., Новомосковський район, с. Соколове, вул. Жовтнева, буд. 18","Торги не відбулися","Житлова нерухомість","Дніпропетровська обл.",,413758,81000.00,
"Земельна ділянка площею 0.08 га, кадастровий номер 8000000000:82:312:0029, що знаходиться за адресою: м.Київ, вул. Лаврська, 46-а","Торги зупинено","Земельні ділянки",м.Київ,,413654,17563388.64,
"ІПОТЕКА.1/2 частина земельної ділянки загальною площею 0,172 га, кадастровий № 6325181201:00:005:0025, за адресою: Харківська обл., Харківський район, с.Котляри, вул.Польова, земельна ділянка № 68","Торги не відбулися","Земельні ділянки","Харківська обл.",,414116,36800.00,
"Похоронні вінки у кількості 18 шт., гранітні плити у кількості 4 шт.","Торги не відбулися","Аукціон із різнотипних товарів","Житомирська обл.",,414118,14625.00,
"Іпотека. Домоволодіння загальною площею 139,5 кв.м., за адресою: Дніпропетровська обл., м. Дніпро, вул. Прянишникова, буд. 145","Торги не відбулися","Житлова нерухомість","Дніпропетровська обл.",,413748,541400.00,
"1/4 частина трикімнатної квартири, загальною площею 77,0 кв. м., за адресою: Дніпропетровська область м. Дніпро, вул. Казакова, буд. 4а, кв. 2","Торги не відбулися","Житлова нерухомість","Дніпропетровська обл.",,413047,136650.00,
"Комплект для газової різки металу","Торги не відбулися",Інше,"Дніпропетровська обл.",,414120,873.00,0.00
"Кругова стаціонарна зрошувальна машина WESTERN, модель: СР600, серійний номер: 681F70.18","Очікування сплати",Сільгосптехніка,"Миколаївська обл.","Учасник №14",414121,885557.93,1452315.05
"Мобільний телефон Nokia 2310","Торги не відбулися","Мобільні телефони","Дніпропетровська обл.",,413834,5.00,
"Мобільний телефон Nokia 501","Складання акту","Мобільні телефони","Дніпропетровська обл.","Учасник №1",413940,5.00,5.00
"Земельна ділянка,  заг.пл.1500 м², к.н.0725784603:03:001:0309 , знаходиться за адресою: Вол.обл.,Шацький р-н, с. Залісся, вул. Козацька,3","Торги не відбулися","Земельні ділянки","Волинська обл.",,414122,117000.00,
"Мобільний телефон Nokia 1110і","Торги не відбулися","Мобільні телефони","Дніпропетровська обл.",,413953,5.00,
"Нежитлове приміщення кафе ""Рижий кіт"", загальна площа 115,4 кв. м, знаходиться за адресою: Волинська обл., м. Володимир-Волинський вул. Ковельська, 111а","Торги не відбулися","Нежитлове приміщення","Волинська обл.",,413025,440061.00,
"Кругова стаціонарна зрошувальна машина WESTERN, модель: СР600, серійний номер: 563F68.18","Очікування сплати",Сільгосптехніка,"Миколаївська обл.","Учасник №14",414123,834510.17,1335216.17
"Мобільний телефон ""Naomi i 184""","Торги не відбулися","Мобільні телефони","Дніпропетровська обл.",,413962,5.00,
"Кругова стаціонарна зрошувальна машина WESTERN, модель: СР600, серійний номер: 728F72.18","Очікування сплати",Сільгосптехніка,"Миколаївська обл.","Учасник №13",414126,1004385.98,2018815.84
"ІПОТЕКА. Земельна ділянка (з урахуванням земельних поліпшень), загальною площею 0,1622 га, кадастровий номер: 5123782500:02:002:0007, за адресою: Одеська обл., Овідіопольський р-н, с. Миколаївка, вул. Дністровська (Леніна), 73","Торги не відбулися","Земельні ділянки","Одеська обл.",,414124,447840.00,
"1/5 частина житлової квартири, загальною площею 66.5 кв.м., що знаходиться за адресою: Закарпатська область, місто Ужгород, вул. Грушевського, 68, кв. 32","Торги не відбулися","Житлова нерухомість","Закарпатська обл.",,414127,167608.00,
"Мобільний телефон ""Nокіа"" 1100","Торги не відбулися","Мобільні телефони","Дніпропетровська обл.",,413798,5.00,
"ІПОТЕКА. Шестикімнатна квартира заг. пл. 109,6 кв.м., за адресою: Дніпропетровська область, м. Кривий Ріг, бул. Маршала Василевського, буд. 28, кв. 2","Торги не відбулися","Житлова нерухомість","Дніпропетровська обл.",,414129,239600.00,
"Мобільний телефон ""ALKATEL ONE TOUCH 5036D""","Складання акту","Мобільні телефони","Дніпропетровська обл.","Учасник №1",413972,5.00,12.34
"Кругова стаціонарна зрошувальна машина WESTERN, модель: СР600, серійний номер: 565F73.18","Торги відбулися",Сільгосптехніка,"Миколаївська обл.","Учасник №14",414130,724545.78,1217237.06
"Житловий будинок, загальною площею 78.36 кв.м. та земельна ділянка, загальною площею 0.0800 га, кадастровий № (не присвоєно), що знаходяться за адресою: Закарпатська область, Рахівський район, село Середнє Водяне, вул. Добрик, 7","Торги не відбулися","Житлова нерухомість","Закарпатська обл.",,414131,275485.00,
"Іпотека. Двокімнатна квартира загальною площею 45,4 кв.м. за адресою: Дніпропетровська обл., м. Дніпро, вул. Осіння, буд. 9, кв. 102 ","Торги не відбулися","Житлова нерухомість","Дніпропетровська обл.",,413732,454500.00,
"ІПОТЕКА. Земельна ділянка загальною площею 0.088 га, КН 5123784200:02:001:0232, за адресою: Одеська область, Овідіопольський район, с. Сухий Лиман, вул. Чорноморців, 142","Торги не відбулися","Земельні ділянки","Одеська обл.",,414132,149121.60,
"Земельна ділянка, загальною площею 2.000 га., кадастровий № 2122781200:03:007:0345, що знаходиться за адресою: Закарпатська область, Мукачівський район, на території Великолучківської сільської ради","Торги зупинено","Земельні ділянки","Закарпатська обл.",,414133,204340.00,
"Іпотека. Трикімнатна квартира, загальною площею 56,4 кв.м., за адресою: Дніпропетровська обл., м. Кривий Ріг, пр. Перемоги, буд. 33, кв. 4","Підписання протоколу","Житлова нерухомість","Дніпропетровська обл.","Учасник №6",413996,95500.00,95500.00
"1/2 частина нежитлової будівлі (будівля корівника), загальною площею 1011.8 кв.м., що знаходиться за адресою: Закарпатська область, Берегівський район, село Запсонь, вул. Фізкультурна, буд. 41/б","Торги не відбулися",Будівлі,"Закарпатська обл.",,414134,119341.60,
"Паркетна дошка, у кількості 44.00 кв.м.","Торги не відбулися","Будівельні матеріали","Закарпатська обл.",,414136,30360.00,
"ІПОТЕКА. Земельна ділянка загальною площею 0.1 га, К/Н: 5122786400:01:001:0816, що знаходиться за адресою: Одеська обл., Лиманський район, Фонтанська сільська рада","Торги не відбулися","Земельні ділянки","Одеська обл.",,414137,38629.60,
"Паркетна дошка, у кількості 20.00 кв.м.","Торги не відбулися","Будівельні матеріали","Закарпатська обл.",,414138,14550.00,
"ІПОТЕКА. Земельна ділянка загальною площею 0.10 га, К/Н: 5122786400:01:001:0888, що знаходиться за адресою: Одеська обл., Лиманський район, Фонтанська сільська рада","Торги не відбулися","Земельні ділянки","Одеська обл.",,414139,70504.00,
"ІПОТЕКА. Трикімнатна квартира загальною площею 78.1 кв.м., за адресою: м. Одеса, вул. Осипова, буд. 9, кв. 1","Торги не відбулися","Житлова нерухомість","Одеська обл.",,414140,825714.40,
"Праска ГОСТ 307-81, в робочому стані, б/в","Торги не відбулися","Мала побутова техніка","Закарпатська обл.",,414143,150.00,
"Житловий будинок загальною площею 96.6 кв.м. та земельна ділянка 1822580301:01:001:0201, площею 0.25 га за адресою: Житомирська обл., Коростишівський район, с. Більківці, вул.Садова, 6-а","Торги не відбулися","Житлова нерухомість","Житомирська обл.",,414039,124090.00,
"Кольоровий телевізор марки “Saturn”, з пультом,  в робочому стані,  б/в","Торги не відбулися",Телевізори,"Закарпатська обл.",,414144,825.00,
"Незавершене будівництво (міні-готель готовністю 8%, сауна готовністю 88%, колиба готовністю 6%) за адресою: Львівська обл. м. Моршин, вул. Галицького Данила, 6Д","Торги не відбулися",Недобудована,"Львівська обл.",,414145,2193000.00,
"Магнітола CD- програвач марки Philips,  радіо та касетний програвач, в робочому стані,б/в","Торги не відбулися",Аудіотехніка,"Закарпатська обл.",,414146,600.00,
"Житловий будинок, загальною площею 439.84 кв.м. земельна ділянка, площею 0.0515 га, К/Н 1210100000:09:157:0051, за адресою: Дніпропетровська обл., м. Дніпро, вул. Дежньова, буд. 75 ""Б""","Торги не відбулися","Житлова нерухомість",м.Київ,,414147,2474775.00,
"31/100 частки домоволодіння житлової нерухомості пл.476.6 кв.м, 1/2 зем.діл. пл.0.0166 га, К/Н 1210100000:02:361:0022 та 1\2 зем. діл. пл. 0.0072 га, К/Н 1210100000:02:361:0021, за адресою: м.Дніпро, вул. М. Грушевського, 48","Торги не відбулися","Житлова нерухомість",м.Київ,,414149,1428246.50,
"Мікроавтобус МЕДДОЛ марки  ГАЗ 33023 2006 року випуску. АХ4234АК, кузов №Х9633023062098219","Торги не відбулися",Автобуси,"Харківська обл.",,414148,91000.00,
"Квартира, загальною площею 95,5 кв.м, яка розташована за адресою: Дніпропетровська обл., м.Дніпро, вул. Голуб'яча, буд. 16, кв.8","Торги не відбулися","Житлова нерухомість",м.Київ,,414151,867000.00,
Бетонозмішувач,"Торги не відбулися",Інше,"Івано-Франківська обл.",,414152,10000.00,
"ІПОТЕКА. Квартира двокімнатна загальною площею 53,9 кв.м. за адресою Миколаївська область, м. Южноукраїнськ, бульвар Шевченка, 3, кв. 14","Торги припинено","Житлова нерухомість","Миколаївська обл.",,414153,318400.00,
"Механічні ваги ","Торги не відбулися",Інше,"Дніпропетровська обл.",,414155,450.62,
"Джинсові штани розмір 28 зріст 33  (жіночі)","Торги не відбулися",Одяг,"Дніпропетровська обл.",,414156,193.37,
